Time,X,Y,Ref_X,Ref_Y,u,v,r,psi,Tp,Ts,Lateral_Error,Heading_Error
0.0,30.257922728592455,-27.019140813343885,28.2,-25.400000000000006,-9.27037469290745,0.4104680555171723,-0.0013538582443188437,0.0,65.62331048644486,-109.40880926829101,2.8284271247461903,0.0027925649129776353
0.013962634015954637,29.511634461920885,-28.11235320863287,30.29432705087179,-25.40584855944175,2.3325507234324316,0.611335999602616,-0.0024521785158848966,-0.00013538582443173297,71.68463344971269,-17.809219308672702,1.6137029377122811,0.008378609495834688
0.027925268031909273,29.14169622054648,-28.102451182647236,32.38824580853533,-25.423393097578746,12.93171302647387,1.0885215581081877,-0.002623351828433598,-0.00038060367602010814,130.838740936472,-79.5475358074469,3.9376895914115924,0.013832013609558214
0.04188790204786391,30.614263468602065,-27.582923695616177,34.48134805937995,-25.452630194068504,21.93489460068626,1.4944121570555289,-0.0020350963979478332,-0.0006429388588635732,115.46004997894555,-69.68541592544382,5.960992621323231,0.01918016490609009
0.05585053606381855,33.31738021837748,-27.818897623934138,36.57322574897457,-25.49355414908114,22.71847755548739,1.6602320898723706,-0.0007657903318238214,-0.0008464484986583365,47.54965022830694,-39.10481168803324,6.314641443573049,0.02451761737100444
0.06981317007977318,36.26523774695943,-27.112326887647413,38.66347106161879,-25.54615698441055,19.671878859146904,1.8279462474013313,0.00024119725024419805,-0.0009230275318405923,39.943139231898975,-49.52977504969981,5.809133955998148,0.02992216079398613
0.08377580409572782,38.89031056318535,-26.10515007937799,40.75167649984732,-25.61042844502974,16.377759603391123,1.7614077718754535,0.0005865044495632172,-0.0008989078068162293,-10.230903187864625,-1.0541050706905708,4.731155420756293,0.03546375698720716
0.09773843811168245,40.12228463463413,-25.884610332930755,42.83743496387242,-25.686356001090132,14.629494566069296,1.4639863410515803,0.00024933101341817406,-0.0008402573618599973,-56.8281644144913,52.270941472067115,3.96927947044652,0.04111804291314103
0.1117010721276371,40.793554383210505,-25.84283262529786,44.92033983094882,-25.773924850364224,18.98965334045448,1.1475237578420021,-0.00037979591049155747,-0.0008153242605182243,-48.29376318482216,72.39113091339759,4.799331718368028,0.04682073366239203
0.12566370614359174,41.95450961409826,-25.951576985068176,46.99998503464563,-25.873117921131332,24.545834420393966,0.8548195662562996,-0.0007083138214796368,-0.0008533038515672331,-41.80733969055068,72.31850173163961,6.206504542028241,0.05250548090557006
0.13962634015954636,43.83379738028786,-26.318712776887125,49.075965144009814,-25.983915875505787,27.530788790611066,0.6285131576786538,-0.0009086046383807633,-0.000924135233715262,-34.856085946024706,54.09118621292214,7.121528955803146,0.058145007957274064
0.153588974175501,47.447424602233184,-26.030000083313194,51.14787544260571,-26.106297113206836,27.74556427236762,0.5246015423716874,-0.0011666156402169248,-0.001014995697553367,-16.194140776898628,22.74941309025172,7.3171619030779915,0.06377131567735272
0.16755160819145565,50.51642124131245,-26.020265004991703,53.21531200741534,-26.240237775769707,20.48291799822035,0.3441871154962227,-0.0015139337157593258,-0.0011316572615749365,-51.004328064767215,22.012981180636732,5.771717682474465,0.06939919044210363
0.18151424220741028,52.200681708730905,-25.87275826124486,55.277871787584,-26.38571175119685,17.459168211960083,0.17686555550235794,-0.0021334189764590874,-0.0012830506331509284,-39.843281044233805,29.627703588247698,4.7754541803792385,0.07502485007418924
0.1954768762233649,54.18525729105188,-25.540330633011493,57.3351526829958,-26.542690679048512,19.88295923754182,-0.028280934591774387,-0.002734914901010373,-0.0014963925307966974,-36.29370076526227,51.3868969932717,5.177992046150025,0.08064138240600371
0.20943951023931956,55.968129900004044,-25.562321239734892,59.3867536226639,-26.711143955971664,19.619377308037,-0.30913617391664455,-0.003330171902766254,-0.0017698840208977273,-59.94248035961095,62.65201994530794,5.331638390306899,0.0862236205459368
0.2234021442552742,57.40124627662004,-25.97508905406897,61.43227464292009,-26.891038741666208,20.900463896968265,-0.5642369129304312,-0.003971540114249958,-0.0021029012111744017,-52.41640923966178,62.35443591353312,5.623376918851846,0.0917754472003609
0.23736477827122882,59.4833615687924,-26.217190988868524,63.471316965388496,-27.082339965287225,23.449419727086013,-0.7038972432099615,-0.004601478752206982,-0.002500055222599329,-25.991697640773808,42.133298148529086,6.170231984864068,0.09729960671532112
0.25132741228718347,61.903756896565504,-26.06262032362546,65.50348307472822,-27.28501033228214,22.64028953659529,-0.7977982179003638,-0.005204498840770404,-0.002960203097820191,-24.7504954095914,25.3584426665824,6.1140903735878265,0.10279364792253798
0.26529004630313807,64.55206579930653,-26.85175849240778,67.5283767961297,-27.499010331661324,20.965629957313936,-0.9599836990690235,-0.0056759080954403825,-0.0034806529818971477,-42.126120107438624,38.445967047733994,5.805132665991268,0.10826091613843758
0.2792526803190927,67.17445699492662,-26.980543018929687,69.54560337254988,-27.724298243700872,18.461249586258134,-0.9396471465114407,-0.005962114166667348,-0.004048243791441308,-6.004333587065663,-1.9705912497482494,5.069195509445226,0.11370635098723003
0.2932153143350474,68.72222630814423,-27.12270290127858,71.55476954167074,-27.96083014807597,16.17420490499575,-0.9494176377211829,-0.005983773001239743,-0.004644455208107967,-12.082858690949257,4.684464781410987,4.488663594293277,0.11914540983910227
0.307177948351002,71.39702370060314,-27.62716800606136,73.55548361256666,-28.208559932423185,18.808338137946663,-0.9819950409428547,-0.00589590501619982,-0.005242832508232098,-5.549333575782536,21.13018087675273,4.953732094374803,0.12459896103520718
